,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Sector
ABB,0.0,0.0,0.0,0.0,Capital Goods
ADANIENSOL,0.031914893617021274,0.00011439029970258523,0.037993920972644375,0.6666666666666666,Power
ADANIENT,0.05319148936170213,0.001029512697323267,0.05319148936170213,0.4,Metals & Mining
ADANIGREEN,0.02127659574468085,0.0,0.03324468085106383,1.0,Power
ADANIPORTS,0.031914893617021274,0.00011439029970258523,0.037993920972644375,0.6666666666666666,Services
ADANIPOWER,0.031914893617021274,0.00011439029970258523,0.037993920972644375,0.6666666666666666,Power
AMBUJACEM,0.02127659574468085,0.0,0.03324468085106383,1.0,Construction Materials
APOLLOHOSP,0.0,0.0,0.0,0.0,Healthcare
ASIANPAINT,0.0,0.0,0.0,0.0,Consumer Durables
DMART,0.0,0.0,0.0,0.0,Consumer Services
AXISBANK,0.0,0.0,0.0,0.0,Financial Services
BAJAJ-AUTO,0.0,0.0,0.0,0.0,Automobile and Auto Components
BAJFINANCE,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
BAJAJFINSV,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
BAJAJHLDNG,0.0,0.0,0.0,0.0,Financial Services
BANKBARODA,0.031914893617021274,0.0,0.031914893617021274,1.0,Financial Services
BEL,0.010638297872340425,0.0,0.010638297872340425,0.0,Capital Goods
BPCL,0.010638297872340425,0.0,0.010638297872340425,0.0,Oil Gas & Consumable Fuels
BHARTIARTL,0.0,0.0,0.0,0.0,Telecommunication
BOSCHLTD,0.0,0.0,0.0,0.0,Automobile and Auto Components
BRITANNIA,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
CGPOWER,0.0,0.0,0.0,0.0,Capital Goods
CANBK,0.031914893617021274,0.0,0.031914893617021274,1.0,Financial Services
CHOLAFIN,0.0,0.0,0.0,0.0,Financial Services
CIPLA,0.0,0.0,0.0,0.0,Healthcare
COALINDIA,0.0,0.0,0.0,0.0,Oil Gas & Consumable Fuels
DLF,0.0,0.0,0.0,0.0,Realty
DIVISLAB,0.0,0.0,0.0,0.0,Healthcare
DRREDDY,0.0,0.0,0.0,0.0,Healthcare
EICHERMOT,0.0,0.0,0.0,0.0,Automobile and Auto Components
ETERNAL,0.0,0.0,0.0,0.0,Consumer Services
GAIL,0.02127659574468085,0.0004575611988103409,0.023936170212765957,0.0,Oil Gas & Consumable Fuels
GODREJCP,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
GRASIM,0.0,0.0,0.0,0.0,Construction Materials
HCLTECH,0.0,0.0,0.0,0.0,Information Technology
HDFCBANK,0.0,0.0,0.0,0.0,Financial Services
HDFCLIFE,0.0,0.0,0.0,0.0,Financial Services
HAVELLS,0.0,0.0,0.0,0.0,Consumer Durables
HINDALCO,0.0,0.0,0.0,0.0,Metals & Mining
HAL,0.010638297872340425,0.0,0.010638297872340425,0.0,Capital Goods
HINDUNILVR,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
HINDZINC,0.0,0.0,0.0,0.0,Metals & Mining
ICICIBANK,0.0,0.0,0.0,0.0,Financial Services
ICICIGI,0.0,0.0,0.0,0.0,Financial Services
