,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Sector
ABB,0.010638297872340425,0.0,0.010638297872340425,0.0,Capital Goods
ADANIENSOL,0.0425531914893617,0.0,0.10692853246044735,1.0,Power
ADANIENT,0.09574468085106383,0.004395998859508352,0.141363144608727,0.5555555555555556,Metals & Mining
ADANIGREEN,0.05319148936170213,0.00024374652606178572,0.11270845313398505,0.8,Power
ADANIPORTS,0.1276595744680851,0.010328737033152497,0.1544523246650906,0.45454545454545453,Services
ADANIPOWER,0.0425531914893617,0.0,0.10692853246044735,1.0,Power
AMBUJACEM,0.09574468085106383,0.0029701986033489115,0.14893617021276595,0.6666666666666666,Construction Materials
APOLLOHOSP,0.0,0.0,0.0,0.0,Healthcare
ASIANPAINT,0.0,0.0,0.0,0.0,Consumer Durables
DMART,0.0,0.0,0.0,0.0,Consumer Services
AXISBANK,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
BAJAJ-AUTO,0.0,0.0,0.0,0.0,Automobile and Auto Components
BAJFINANCE,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
BAJAJFINSV,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
BAJAJHLDNG,0.0,0.0,0.0,0.0,Financial Services
BANKBARODA,0.1276595744680851,0.002141802925376478,0.15736651947009234,0.6515151515151515,Financial Services
BEL,0.1595744680851064,0.013576602037480557,0.18534278959810874,0.4666666666666667,Capital Goods
BPCL,0.0425531914893617,0.0,0.10974244120940649,1.0,Oil Gas & Consumable Fuels
BHARTIARTL,0.0,0.0,0.0,0.0,Telecommunication
BOSCHLTD,0.0,0.0,0.0,0.0,Automobile and Auto Components
BRITANNIA,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
CGPOWER,0.0,0.0,0.0,0.0,Capital Goods
CANBK,0.1595744680851064,0.010301387394729876,0.18534278959810874,0.5523809523809524,Financial Services
CHOLAFIN,0.0,0.0,0.0,0.0,Financial Services
CIPLA,0.0,0.0,0.0,0.0,Healthcare
COALINDIA,0.10638297872340426,0.0014057658704192684,0.1438004402054292,0.7333333333333333,Oil Gas & Consumable Fuels
DLF,0.031914893617021274,0.0,0.12448396316290886,1.0,Realty
DIVISLAB,0.0,0.0,0.0,0.0,Healthcare
DRREDDY,0.0,0.0,0.0,0.0,Healthcare
EICHERMOT,0.0,0.0,0.0,0.0,Automobile and Auto Components
ETERNAL,0.0,0.0,0.0,0.0,Consumer Services
GAIL,0.14893617021276595,0.004873146862966126,0.15736651947009234,0.5384615384615384,Oil Gas & Consumable Fuels
GODREJCP,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
GRASIM,0.0,0.0,0.0,0.0,Construction Materials
HCLTECH,0.02127659574468085,0.0,0.028368794326241134,1.0,Information Technology
HDFCBANK,0.0,0.0,0.0,0.0,Financial Services
HDFCLIFE,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
HAVELLS,0.0,0.0,0.0,0.0,Consumer Durables
HINDALCO,0.02127659574468085,0.0,0.08340425531914894,1.0,Metals & Mining
HAL,0.0425531914893617,0.0,0.12831423895253682,1.0,Capital Goods
HINDUNILVR,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
HINDZINC,0.0,0.0,0.0,0.0,Metals & Mining
ICICIBANK,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
ICICIGI,0.0,0.0,0.0,0.0,Financial Services
ITC,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
INDHOTEL,0.0,0.0,0.0,0.0,Consumer Services
IOC,0.09574468085106383,0.0011313886085105485,0.141363144608727,0.7222222222222222,Oil Gas & Consumable Fuels
IRFC,0.0,0.0,0.0,0.0,Financial Services
NAUKRI,0.0,0.0,0.0,0.0,Consumer Services
INFY,0.0425531914893617,0.0004575611988103409,0.0425531914893617,0.5,Information Technology
INDIGO,0.0,0.0,0.0,0.0,Services
JSWENERGY,0.0,0.0,0.0,0.0,Power
JSWSTEEL,0.031914893617021274,0.00011439029970258523,0.08424672254459488,0.6666666666666666,Metals & Mining
JINDALSTEL,0.02127659574468085,0.0,0.08340425531914894,1.0,Metals & Mining
JIOFIN,0.0,0.0,0.0,0.0,Financial Services
KOTAKBANK,0.0,0.0,0.0,0.0,Financial Services
LTIM,0.0,0.0,0.0,0.0,Information Technology
LT,0.031914893617021274,0.0,0.12637008381689233,1.0,Construction
LICI,0.0,0.0,0.0,0.0,Financial Services
LODHA,0.0,0.0,0.0,0.0,Realty
M&M,0.0,0.0,0.0,0.0,Automobile and Auto Components
MARUTI,0.0,0.0,0.0,0.0,Automobile and Auto Components
MAXHEALTH,0.0,0.0,0.0,0.0,Healthcare
MAZDOCK,0.0,0.0,0.0,0.0,Capital Goods
NTPC,0.14893617021276595,0.011276176901891841,0.18131359851988899,0.5054945054945055,Power
NESTLEIND,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
ONGC,0.07446808510638298,0.0009783082563910753,0.13672828740844087,0.6190476190476191,Oil Gas & Consumable Fuels
PIDILITIND,0.0,0.0,0.0,0.0,Chemicals
PFC,0.11702127659574468,0.000785215953369694,0.1463232549458753,0.7272727272727273,Financial Services
POWERGRID,0.031914893617021274,6.128051769781351e-05,0.1303191489361702,0.6666666666666666,Power
PNB,0.1276595744680851,0.005668138706917018,0.17375886524822695,0.6212121212121212,Financial Services
RECLTD,0.14893617021276595,0.003919200667656399,0.15736651947009234,0.5274725274725275,Financial Services
RELIANCE,0.0,0.0,0.0,0.0,Oil Gas & Consumable Fuels
SBILIFE,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
MOTHERSON,0.0,0.0,0.0,0.0,Automobile and Auto Components
SHREECEM,0.0,0.0,0.0,0.0,Construction Materials
SHRIRAMFIN,0.0,0.0,0.0,0.0,Financial Services
SIEMENS,0.010638297872340425,0.0,0.010638297872340425,0.0,Capital Goods
SOLARINDS,0.0,0.0,0.0,0.0,Chemicals
SBIN,0.09574468085106383,0.0011909232425132677,0.14893617021276595,0.6388888888888888,Financial Services
SUNPHARMA,0.0,0.0,0.0,0.0,Healthcare
TVSMOTOR,0.0,0.0,0.0,0.0,Automobile and Auto Components
TCS,0.031914893617021274,0.00011439029970258523,0.03404255319148936,0.6666666666666666,Information Technology
TATACONSUM,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
TATAPOWER,0.05319148936170213,0.026330567167904162,0.15164410058027078,0.5,Power
TATASTEEL,0.05319148936170213,0.02276366964081446,0.11270845313398505,0.2,Metals & Mining
TECHM,0.031914893617021274,0.00011439029970258523,0.03404255319148936,0.6666666666666666,Information Technology
TITAN,0.0,0.0,0.0,0.0,Consumer Durables
TORNTPHARM,0.0,0.0,0.0,0.0,Healthcare
TRENT,0.0,0.0,0.0,0.0,Consumer Services
ULTRACEMCO,0.0,0.0,0.0,0.0,Construction Materials
VBL,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
VEDL,0.010638297872340425,0.0,0.08257847061301875,0.0,Metals & Mining
WIPRO,0.02127659574468085,0.0,0.028368794326241134,1.0,Information Technology
ZYDUSLIFE,0.0,0.0,0.0,0.0,Healthcare
