,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Sector
ABB,0.05319148936170213,4.1596472619121905e-05,0.22077596996245308,0.9,Capital Goods
ADANIENSOL,0.05319148936170213,0.0,0.20851063829787234,1.0,Power
ADANIENT,0.26595744680851063,0.0058506084652353825,0.30763864666899193,0.6866666666666666,Metals & Mining
ADANIGREEN,0.06382978723404255,6.153409225380446e-05,0.2157006603081438,0.9333333333333333,Power
ADANIPORTS,0.2978723404255319,0.008386900981821677,0.3235509904622157,0.6402116402116402,Services
ADANIPOWER,0.11702127659574468,0.0009393384274406359,0.24371373307543517,0.8,Power
AMBUJACEM,0.30851063829787234,0.018016535767270695,0.3351063829787234,0.5763546798029556,Construction Materials
APOLLOHOSP,0.0,0.0,0.0,0.0,Healthcare
ASIANPAINT,0.0,0.0,0.0,0.0,Consumer Durables
DMART,0.0,0.0,0.0,0.0,Consumer Services
AXISBANK,0.02127659574468085,0.0,0.19148936170212763,1.0,Financial Services
BAJAJ-AUTO,0.0,0.0,0.0,0.0,Automobile and Auto Components
BAJFINANCE,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
BAJAJFINSV,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
BAJAJHLDNG,0.0,0.0,0.0,0.0,Financial Services
BANKBARODA,0.26595744680851063,0.002837778005173616,0.31276595744680846,0.77,Financial Services
BEL,0.2978723404255319,0.011050032310555404,0.3235509904622157,0.6402116402116402,Capital Goods
BPCL,0.1702127659574468,0.00012883351936200256,0.2535940195514663,0.9416666666666667,Oil Gas & Consumable Fuels
BHARTIARTL,0.0,0.0,0.0,0.0,Telecommunication
BOSCHLTD,0.0,0.0,0.0,0.0,Automobile and Auto Components
BRITANNIA,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
CGPOWER,0.0,0.0,0.0,0.0,Capital Goods
CANBK,0.28723404255319146,0.005948405363165968,0.3235509904622157,0.6923076923076923,Financial Services
CHOLAFIN,0.010638297872340425,0.0,0.15509055741164057,0.0,Financial Services
CIPLA,0.0,0.0,0.0,0.0,Healthcare
COALINDIA,0.2553191489361702,0.0014391790116418217,0.30267673301304043,0.8188405797101449,Oil Gas & Consumable Fuels
DLF,0.24468085106382978,0.01768367135802569,0.30763864666899193,0.6600790513833992,Realty
DIVISLAB,0.0,0.0,0.0,0.0,Healthcare
DRREDDY,0.0,0.0,0.0,0.0,Healthcare
EICHERMOT,0.0,0.0,0.0,0.0,Automobile and Auto Components
ETERNAL,0.0,0.0,0.0,0.0,Consumer Services
GAIL,0.2978723404255319,0.008748980250681155,0.3351063829787234,0.6666666666666666,Oil Gas & Consumable Fuels
GODREJCP,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
GRASIM,0.02127659574468085,0.0,0.16177549523110785,1.0,Construction Materials
HCLTECH,0.0425531914893617,0.0,0.044326241134751775,1.0,Information Technology
HDFCBANK,0.0,0.0,0.0,0.0,Financial Services
HDFCLIFE,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
HAVELLS,0.0,0.0,0.0,0.0,Consumer Durables
HINDALCO,0.0425531914893617,0.0,0.19346347883307743,1.0,Metals & Mining
HAL,0.2553191489361702,0.00538503330751288,0.30267673301304043,0.7572463768115942,Capital Goods
HINDUNILVR,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
HINDZINC,0.0,0.0,0.0,0.0,Metals & Mining
ICICIBANK,0.02127659574468085,0.0,0.19148936170212763,1.0,Financial Services
ICICIGI,0.0,0.0,0.0,0.0,Financial Services
ITC,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
INDHOTEL,0.02127659574468085,0.0,0.20621931260229132,1.0,Consumer Services
IOC,0.20212765957446807,0.00022713540996266478,0.2759699624530663,0.935672514619883,Oil Gas & Consumable Fuels
IRFC,0.0,0.0,0.0,0.0,Financial Services
NAUKRI,0.0,0.0,0.0,0.0,Consumer Services
INFY,0.05319148936170213,0.00034317089910775565,0.05319148936170213,0.7,Information Technology
INDIGO,0.0,0.0,0.0,0.0,Services
JSWENERGY,0.07446808510638298,0.0,0.22077596996245308,1.0,Power
JSWSTEEL,0.10638297872340426,0.008174199219088784,0.2316784869976359,0.4666666666666667,Metals & Mining
JINDALSTEL,0.1276595744680851,0.002147896918788654,0.24692049272116462,0.7121212121212122,Metals & Mining
JIOFIN,0.0,0.0,0.0,0.0,Financial Services
KOTAKBANK,0.0,0.0,0.0,0.0,Financial Services
LTIM,0.02127659574468085,0.0,0.03324468085106383,1.0,Information Technology
LT,0.22340425531914893,0.004580533324519058,0.293218085106383,0.7714285714285715,Construction
LICI,0.1276595744680851,4.220607609716076e-05,0.24692049272116462,0.9696969696969697,Financial Services
LODHA,0.010638297872340425,0.0,0.18397997496871088,0.0,Realty
M&M,0.0,0.0,0.0,0.0,Automobile and Auto Components
MARUTI,0.0,0.0,0.0,0.0,Automobile and Auto Components
MAXHEALTH,0.0,0.0,0.0,0.0,Healthcare
MAZDOCK,0.02127659574468085,0.0,0.19148936170212763,1.0,Capital Goods
NTPC,0.26595744680851063,0.003829719039595026,0.31276595744680846,0.76,Power
NESTLEIND,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
ONGC,0.23404255319148937,0.0005957791668692931,0.293218085106383,0.8961038961038961,Oil Gas & Consumable Fuels
PIDILITIND,0.0,0.0,0.0,0.0,Chemicals
PFC,0.26595744680851063,0.0031189505311777417,0.31276595744680846,0.7666666666666667,Financial Services
POWERGRID,0.20212765957446807,0.0006265844871944545,0.2759699624530663,0.9005847953216374,Power
PNB,0.26595744680851063,0.00308810306332297,0.31276595744680846,0.7666666666666667,Financial Services
RECLTD,0.26595744680851063,0.0031189505311777417,0.31276595744680846,0.7666666666666667,Financial Services
RELIANCE,0.1276595744680851,0.0013427555063137409,0.24371373307543517,0.8484848484848485,Oil Gas & Consumable Fuels
SBILIFE,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
MOTHERSON,0.0,0.0,0.0,0.0,Automobile and Auto Components
SHREECEM,0.0,0.0,0.0,0.0,Construction Materials
SHRIRAMFIN,0.09574468085106383,0.009380004575611988,0.23457446808510637,0.7777777777777778,Financial Services
SIEMENS,0.11702127659574468,0.00035548985446034185,0.23754376514947478,0.8727272727272727,Capital Goods
SOLARINDS,0.0,0.0,0.0,0.0,Chemicals
SBIN,0.28723404255319146,0.021006589036029952,0.3235509904622157,0.6666666666666666,Financial Services
SUNPHARMA,0.0,0.0,0.0,0.0,Healthcare
TVSMOTOR,0.0,0.0,0.0,0.0,Automobile and Auto Components
TCS,0.0425531914893617,0.0,0.044326241134751775,1.0,Information Technology
TATACONSUM,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
TATAPOWER,0.24468085106382978,0.003004752591938187,0.2978723404255319,0.7707509881422925,Power
TATASTEEL,0.2553191489361702,0.008879450129031038,0.30763864666899193,0.7391304347826086,Metals & Mining
TECHM,0.0425531914893617,0.0,0.044326241134751775,1.0,Information Technology
TITAN,0.0,0.0,0.0,0.0,Consumer Durables
TORNTPHARM,0.0,0.0,0.0,0.0,Healthcare
TRENT,0.0,0.0,0.0,0.0,Consumer Services
ULTRACEMCO,0.05319148936170213,0.003153728906905651,0.21324951644100582,0.4,Construction Materials
VBL,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
VEDL,0.07446808510638298,0.0006156534732577366,0.22340425531914893,0.7619047619047619,Metals & Mining
WIPRO,0.05319148936170213,0.00034317089910775565,0.05319148936170213,0.7,Information Technology
ZYDUSLIFE,0.0,0.0,0.0,0.0,Healthcare
